Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;0;0;0;0;0;132.04
0;0;0;0;100;0;157.95
0;0;0;0;500;0;115.18
0;0;0;0;1000;0;85.75
0;0;0;0;2000;0;56.83
0;0;0;0;3000;0;41.68
0;0;0;1;0;0;151.24
0;0;0;1;100;0;157.61
0;0;0;1;500;0;116.49
0;0;0;1;1000;0;90.01
0;0;0;1;2000;0;58.23
0;0;0;1;3000;0;42.39
0;0;1;0;0;0;149.78
0;0;1;0;100;0;145.87
0;0;1;0;500;0;117.19
0;0;1;0;1000;0;88.99
0;0;1;0;2000;0;55.49
0;0;1;0;3000;0;42.77
0;0;1;1;0;0;152.72
0;0;1;1;100;0;149.89
0;0;1;1;500;0;113.23
0;0;1;1;1000;0;85.67
0;0;1;1;2000;0;57.14
0;0;1;1;3000;0;42.90
0;0;2;0;0;0;153.00
0;0;2;0;100;0;156.22
0;0;2;0;500;0;116.11
0;0;2;0;1000;0;65.71
0;0;2;0;2000;0;50.87
0;0;2;0;3000;0;41.38
0;0;2;1;0;0;139.82
0;0;2;1;100;0;143.90
0;0;2;1;500;0;111.55
0;0;2;1;1000;0;85.95
0;0;2;1;2000;0;57.40
0;0;2;1;3000;0;43.06
0;0;4;0;0;0;153.06
0;0;4;0;100;0;151.02
0;0;4;0;500;0;113.25
0;0;4;0;1000;0;85.80
0;0;4;0;2000;0;57.82
0;0;4;0;3000;0;42.49
0;0;4;1;0;0;149.93
0;0;4;1;100;0;149.83
0;0;4;1;500;0;115.79
0;0;4;1;1000;0;90.39
0;0;4;1;2000;0;58.84
0;0;4;1;3000;0;42.24
0;0;8;0;0;0;152.79
0;0;8;0;100;0;154.80
0;0;8;0;500;0;115.89
0;0;8;0;1000;0;45.09
0;0;8;0;2000;0;57.65
0;0;8;0;3000;0;43.34
0;0;8;1;0;0;156.81
0;0;8;1;100;0;155.50
0;0;8;1;500;0;116.94
0;0;8;1;1000;0;90.21
0;0;8;1;2000;0;57.98
0;0;8;1;3000;0;42.75
0;0;12;0;0;0;157.58
0;0;12;0;100;0;158.21
0;0;12;0;500;0;117.29
0;0;12;0;1000;0;89.94
0;0;12;0;2000;0;57.32
0;0;12;0;3000;0;42.05
0;0;12;1;0;0;149.94
0;0;12;1;100;0;146.04
0;0;12;1;500;0;110.21
0;0;12;1;1000;0;84.55
0;0;12;1;2000;0;58.05
0;0;12;1;3000;0;41.90
0;0;16;0;0;0;146.53
0;0;16;0;100;0;149.50
0;0;16;0;500;0;112.37
0;0;16;0;1000;0;89.75
0;0;16;0;2000;0;58.13
0;0;16;0;3000;0;38.36
0;0;16;1;0;0;138.13
0;0;16;1;100;0;148.67
0;0;16;1;500;0;112.57
0;0;16;1;1000;0;85.84
0;0;16;1;2000;0;56.71
0;0;16;1;3000;0;42.20
0;100;0;0;0;0;110.28
0;100;0;0;100;0;148.62
0;100;0;0;500;0;115.59
0;100;0;0;1000;0;85.20
0;100;0;0;2000;0;55.65
0;100;0;0;3000;0;42.38
0;100;0;1;0;0;119.40
0;100;0;1;100;0;142.85
0;100;0;1;500;0;112.45
0;100;0;1;1000;0;84.52
0;100;0;1;2000;0;55.37
0;100;0;1;3000;0;42.06
0;100;1;0;0;0;145.47
0;100;1;0;100;0;145.60
0;100;1;0;500;0;110.77
0;100;1;0;1000;0;83.68
0;100;1;0;2000;0;55.39
0;100;1;0;3000;0;42.04
0;100;1;1;0;0;139.74
0;100;1;1;100;0;142.19
0;100;1;1;500;0;109.34
0;100;1;1;1000;0;85.34
0;100;1;1;2000;0;55.42
0;100;1;1;3000;0;41.97
0;100;2;0;0;0;146.65
0;100;2;0;100;0;144.61
0;100;2;0;500;0;110.97
0;100;2;0;1000;0;84.46
0;100;2;0;2000;0;55.62
0;100;2;0;3000;0;41.82
0;100;2;1;0;0;139.80
0;100;2;1;100;0;143.39
0;100;2;1;500;0;109.46
0;100;2;1;1000;0;78.99
0;100;2;1;2000;0;56.32
0;100;2;1;3000;0;39.76
0;100;4;0;0;0;149.03
0;100;4;0;100;0;151.71
0;100;4;0;500;0;111.74
0;100;4;0;1000;0;85.19
0;100;4;0;2000;0;55.49
0;100;4;0;3000;0;42.94
0;100;4;1;0;0;138.63
0;100;4;1;100;0;138.13
0;100;4;1;500;0;109.08
0;100;4;1;1000;0;82.89
0;100;4;1;2000;0;55.39
0;100;4;1;3000;0;41.51
0;100;8;0;0;0;144.48
0;100;8;0;100;0;145.26
0;100;8;0;500;0;108.88
0;100;8;0;1000;0;83.53
0;100;8;0;2000;0;55.75
0;100;8;0;3000;0;42.49
0;100;8;1;0;0;144.05
0;100;8;1;100;0;141.99
0;100;8;1;500;0;104.94
0;100;8;1;1000;0;79.77
0;100;8;1;2000;0;55.40
0;100;8;1;3000;0;42.22
0;100;12;0;0;0;149.56
0;100;12;0;100;0;151.49
0;100;12;0;500;0;114.94
0;100;12;0;1000;0;83.80
0;100;12;0;2000;0;56.33
0;100;12;0;3000;0;42.86
0;100;12;1;0;0;143.50
0;100;12;1;100;0;149.65
0;100;12;1;500;0;108.99
0;100;12;1;1000;0;83.35
0;100;12;1;2000;0;54.81
0;100;12;1;3000;0;42.26
0;100;16;0;0;0;146.31
0;100;16;0;100;0;150.70
0;100;16;0;500;0;111.54
0;100;16;0;1000;0;85.74
0;100;16;0;2000;0;56.68
0;100;16;0;3000;0;41.96
0;100;16;1;0;0;143.07
0;100;16;1;100;0;143.35
0;100;16;1;500;0;105.81
0;100;16;1;1000;0;79.70
0;100;16;1;2000;0;55.52
0;100;16;1;3000;0;42.15
0;500;0;0;0;0;103.56
0;500;0;0;100;0;136.32
0;500;0;0;500;0;104.21
0;500;0;0;1000;0;79.78
0;500;0;0;2000;0;54.72
0;500;0;0;3000;0;39.58
0;500;0;1;0;0;138.10
0;500;0;1;100;0;138.35
0;500;0;1;500;0;102.76
0;500;0;1;1000;0;79.73
0;500;0;1;2000;0;52.72
0;500;0;1;3000;0;39.68
0;500;1;0;0;0;124.62
0;500;1;0;100;0;125.55
0;500;1;0;500;0;102.94
0;500;1;0;1000;0;79.27
0;500;1;0;2000;0;55.50
0;500;1;0;3000;0;38.56
0;500;1;1;0;0;117.03
0;500;1;1;100;0;117.90
0;500;1;1;500;0;97.71
0;500;1;1;1000;0;76.60
0;500;1;1;2000;0;52.31
0;500;1;1;3000;0;39.48
0;500;2;0;0;0;133.14
0;500;2;0;100;0;136.89
0;500;2;0;500;0;102.00
0;500;2;0;1000;0;79.84
0;500;2;0;2000;0;55.04
0;500;2;0;3000;0;39.75
0;500;2;1;0;0;129.20
0;500;2;1;100;0;131.83
0;500;2;1;500;0;101.96
0;500;2;1;1000;0;77.48
0;500;2;1;2000;0;52.45
0;500;2;1;3000;0;39.13
0;500;4;0;0;0;129.49
0;500;4;0;100;0;134.80
0;500;4;0;500;0;98.89
0;500;4;0;1000;0;78.10
0;500;4;0;2000;0;52.53
0;500;4;0;3000;0;42.01
0;500;4;1;0;0;131.18
0;500;4;1;100;0;131.86
0;500;4;1;500;0;97.31
0;500;4;1;1000;0;79.28
0;500;4;1;2000;0;56.28
0;500;4;1;3000;0;41.91
0;500;8;0;0;0;136.36
0;500;8;0;100;0;139.19
0;500;8;0;500;0;105.63
0;500;8;0;1000;0;78.23
0;500;8;0;2000;0;56.33
0;500;8;0;3000;0;42.18
0;500;8;1;0;0;118.69
0;500;8;1;100;0;125.83
0;500;8;1;500;0;102.54
0;500;8;1;1000;0;77.00
0;500;8;1;2000;0;51.15
0;500;8;1;3000;0;39.07
0;500;12;0;0;0;137.60
0;500;12;0;100;0;138.06
0;500;12;0;500;0;104.67
0;500;12;0;1000;0;79.66
0;500;12;0;2000;0;52.85
0;500;12;0;3000;0;42.95
0;500;12;1;0;0;129.22
0;500;12;1;100;0;130.08
0;500;12;1;500;0;99.62
0;500;12;1;1000;0;76.76
0;500;12;1;2000;0;55.49
0;500;12;1;3000;0;42.46
0;500;16;0;0;0;132.25
0;500;16;0;100;0;136.09
0;500;16;0;500;0;106.19
0;500;16;0;1000;0;79.72
0;500;16;0;2000;0;54.37
0;500;16;0;3000;0;41.92
0;500;16;1;0;0;128.76
0;500;16;1;100;0;129.99
0;500;16;1;500;0;98.47
0;500;16;1;1000;0;78.38
0;500;16;1;2000;0;55.51
0;500;16;1;3000;0;39.34
0;1000;0;0;0;0;83.67
0;1000;0;0;100;0;125.02
0;1000;0;0;500;0;97.60
0;1000;0;0;1000;0;76.57
0;1000;0;0;2000;0;53.32
0;1000;0;0;3000;0;39.24
0;1000;0;1;0;0;112.28
0;1000;0;1;100;0;123.41
0;1000;0;1;500;0;98.00
0;1000;0;1;1000;0;76.21
0;1000;0;1;2000;0;52.07
0;1000;0;1;3000;0;39.53
0;1000;1;0;0;0;109.00
0;1000;1;0;100;0;118.80
0;1000;1;0;500;0;96.39
0;1000;1;0;1000;0;73.01
0;1000;1;0;2000;0;51.67
0;1000;1;0;3000;0;39.00
0;1000;1;1;0;0;105.38
0;1000;1;1;100;0;112.09
0;1000;1;1;500;0;90.34
0;1000;1;1;1000;0;72.50
0;1000;1;1;2000;0;51.36
0;1000;1;1;3000;0;39.27
0;1000;2;0;0;0;110.23
0;1000;2;0;100;0;123.62
0;1000;2;0;500;0;101.75
0;1000;2;0;1000;0;77.33
0;1000;2;0;2000;0;55.14
0;1000;2;0;3000;0;40.36
0;1000;2;1;0;0;109.15
0;1000;2;1;100;0;119.19
0;1000;2;1;500;0;95.60
0;1000;2;1;1000;0;72.77
0;1000;2;1;2000;0;51.70
0;1000;2;1;3000;0;40.73
0;1000;4;0;0;0;110.66
0;1000;4;0;100;0;117.57
0;1000;4;0;500;0;91.90
0;1000;4;0;1000;0;72.45
0;1000;4;0;2000;0;51.80
0;1000;4;0;3000;0;41.51
0;1000;4;1;0;0;115.79
0;1000;4;1;100;0;118.71
0;1000;4;1;500;0;96.12
0;1000;4;1;1000;0;75.47
0;1000;4;1;2000;0;51.57
0;1000;4;1;3000;0;37.87
0;1000;8;0;0;0;115.35
0;1000;8;0;100;0;119.73
0;1000;8;0;500;0;97.22
0;1000;8;0;1000;0;71.17
0;1000;8;0;2000;0;51.54
0;1000;8;0;3000;0;38.78
0;1000;8;1;0;0;110.93
0;1000;8;1;100;0;118.73
0;1000;8;1;500;0;95.37
0;1000;8;1;1000;0;73.10
0;1000;8;1;2000;0;50.95
0;1000;8;1;3000;0;39.27
0;1000;12;0;0;0;107.51
0;1000;12;0;100;0;111.26
0;1000;12;0;500;0;94.59
0;1000;12;0;1000;0;71.75
0;1000;12;0;2000;0;49.72
0;1000;12;0;3000;0;38.31
0;1000;12;1;0;0;106.25
0;1000;12;1;100;0;111.66
0;1000;12;1;500;0;96.35
0;1000;12;1;1000;0;70.32
0;1000;12;1;2000;0;50.67
0;1000;12;1;3000;0;38.10
0;1000;16;0;0;0;113.11
0;1000;16;0;100;0;126.32
0;1000;16;0;500;0;104.26
0;1000;16;0;1000;0;77.31
0;1000;16;0;2000;0;50.27
0;1000;16;0;3000;0;38.11
0;1000;16;1;0;0;108.68
0;1000;16;1;100;0;114.88
0;1000;16;1;500;0;91.45
0;1000;16;1;1000;0;76.02
0;1000;16;1;2000;0;51.82
0;1000;16;1;3000;0;38.91
0;5000;0;0;0;0;30.62
0;5000;0;0;100;0;56.47
0;5000;0;0;500;0;57.37
0;5000;0;0;1000;0;52.33
0;5000;0;0;2000;0;39.70
0;5000;0;0;3000;0;32.80
0;5000;0;1;0;0;58.14
0;5000;0;1;100;0;59.08
0;5000;0;1;500;0;56.08
0;5000;0;1;1000;0;50.77
0;5000;0;1;2000;0;42.99
0;5000;0;1;3000;0;32.86
0;5000;1;0;0;0;57.83
0;5000;1;0;100;0;61.88
0;5000;1;0;500;0;54.39
0;5000;1;0;1000;0;49.53
0;5000;1;0;2000;0;42.81
0;5000;1;0;3000;0;34.22
0;5000;1;1;0;0;56.04
0;5000;1;1;100;0;56.72
0;5000;1;1;500;0;55.24
0;5000;1;1;1000;0;51.29
0;5000;1;1;2000;0;39.96
0;5000;1;1;3000;0;32.12
0;5000;2;0;0;0;61.86
0;5000;2;0;100;0;59.77
0;5000;2;0;500;0;57.24
0;5000;2;0;1000;0;51.31
0;5000;2;0;2000;0;42.72
0;5000;2;0;3000;0;32.23
0;5000;2;1;0;0;57.51
0;5000;2;1;100;0;57.94
0;5000;2;1;500;0;55.51
0;5000;2;1;1000;0;49.94
0;5000;2;1;2000;0;39.17
0;5000;2;1;3000;0;31.12
0;5000;4;0;0;0;58.77
0;5000;4;0;100;0;58.47
0;5000;4;0;500;0;54.96
0;5000;4;0;1000;0;50.89
0;5000;4;0;2000;0;41.89
0;5000;4;0;3000;0;32.63
0;5000;4;1;0;0;56.99
0;5000;4;1;100;0;56.56
0;5000;4;1;500;0;55.27
0;5000;4;1;1000;0;52.22
0;5000;4;1;2000;0;43.22
0;5000;4;1;3000;0;32.93
0;5000;8;0;0;0;59.06
0;5000;8;0;100;0;61.91
0;5000;8;0;500;0;56.08
0;5000;8;0;1000;0;50.88
0;5000;8;0;2000;0;42.39
0;5000;8;0;3000;0;32.49
0;5000;8;1;0;0;57.48
0;5000;8;1;100;0;56.93
0;5000;8;1;500;0;54.77
0;5000;8;1;1000;0;49.97
0;5000;8;1;2000;0;41.44
0;5000;8;1;3000;0;32.01
0;5000;12;0;0;0;56.56
0;5000;12;0;100;0;54.95
0;5000;12;0;500;0;52.20
0;5000;12;0;1000;0;49.46
0;5000;12;0;2000;0;42.38
0;5000;12;0;3000;0;32.79
0;5000;12;1;0;0;52.63
0;5000;12;1;100;0;59.15
0;5000;12;1;500;0;54.88
0;5000;12;1;1000;0;49.90
0;5000;12;1;2000;0;42.37
0;5000;12;1;3000;0;33.32
0;5000;16;0;0;0;58.96
0;5000;16;0;100;0;57.41
0;5000;16;0;500;0;51.29
0;5000;16;0;1000;0;51.31
0;5000;16;0;2000;0;38.98
0;5000;16;0;3000;0;32.39
0;5000;16;1;0;0;56.26
0;5000;16;1;100;0;56.05
0;5000;16;1;500;0;52.19
0;5000;16;1;1000;0;48.39
0;5000;16;1;2000;0;38.70
0;5000;16;1;3000;0;32.14
0;10000;0;0;0;0;18.97
0;10000;0;0;100;0;33.21
0;10000;0;0;500;0;31.56
0;10000;0;0;1000;0;29.54
0;10000;0;0;2000;0;28.65
0;10000;0;0;3000;0;24.32
0;10000;0;1;0;0;36.59
0;10000;0;1;100;0;25.79
0;10000;0;1;500;0;36.75
0;10000;0;1;1000;0;34.27
0;10000;0;1;2000;0;28.98
0;10000;0;1;3000;0;25.22
0;10000;1;0;0;0;33.66
0;10000;1;0;100;0;32.45
0;10000;1;0;500;0;35.97
0;10000;1;0;1000;0;34.92
0;10000;1;0;2000;0;30.03
0;10000;1;0;3000;0;27.97
0;10000;1;1;0;0;37.59
0;10000;1;1;100;0;38.72
0;10000;1;1;500;0;36.76
0;10000;1;1;1000;0;36.22
0;10000;1;1;2000;0;31.00
0;10000;1;1;3000;0;27.84
0;10000;2;0;0;0;41.82
0;10000;2;0;100;0;41.88
0;10000;2;0;500;0;39.38
0;10000;2;0;1000;0;35.94
0;10000;2;0;2000;0;32.17
0;10000;2;0;3000;0;28.53
0;10000;2;1;0;0;39.57
0;10000;2;1;100;0;38.23
0;10000;2;1;500;0;37.12
0;10000;2;1;1000;0;35.06
0;10000;2;1;2000;0;31.69
0;10000;2;1;3000;0;26.48
0;10000;4;0;0;0;38.74
0;10000;4;0;100;0;39.41
0;10000;4;0;500;0;38.08
0;10000;4;0;1000;0;36.23
0;10000;4;0;2000;0;31.46
0;10000;4;0;3000;0;29.27
0;10000;4;1;0;0;38.91
0;10000;4;1;100;0;37.68
0;10000;4;1;500;0;34.34
0;10000;4;1;1000;0;32.84
0;10000;4;1;2000;0;30.04
0;10000;4;1;3000;0;26.14
0;10000;8;0;0;0;37.52
0;10000;8;0;100;0;37.59
0;10000;8;0;500;0;37.22
0;10000;8;0;1000;0;32.47
0;10000;8;0;2000;0;29.08
0;10000;8;0;3000;0;24.29
0;10000;8;1;0;0;35.46
0;10000;8;1;100;0;36.86
0;10000;8;1;500;0;36.61
0;10000;8;1;1000;0;34.72
0;10000;8;1;2000;0;30.44
0;10000;8;1;3000;0;25.62
0;10000;12;0;0;0;36.97
0;10000;12;0;100;0;36.44
0;10000;12;0;500;0;37.55
0;10000;12;0;1000;0;35.26
0;10000;12;0;2000;0;30.20
0;10000;12;0;3000;0;26.13
0;10000;12;1;0;0;36.92
0;10000;12;1;100;0;37.21
0;10000;12;1;500;0;35.73
0;10000;12;1;1000;0;31.65
0;10000;12;1;2000;0;29.77
0;10000;12;1;3000;0;25.66
0;10000;16;0;0;0;37.74
0;10000;16;0;100;0;37.57
0;10000;16;0;500;0;35.09
0;10000;16;0;1000;0;35.62
0;10000;16;0;2000;0;30.94
0;10000;16;0;3000;0;29.14
0;10000;16;1;0;0;38.87
0;10000;16;1;100;0;38.01
0;10000;16;1;500;0;36.18
0;10000;16;1;1000;0;32.19
0;10000;16;1;2000;0;31.49
0;10000;16;1;3000;0;25.91
0;25000;0;0;0;0;9.12
0;25000;0;0;100;0;15.32
0;25000;0;0;500;0;15.79
0;25000;0;0;1000;0;16.15
0;25000;0;0;2000;0;16.32
0;25000;0;0;3000;0;15.24
0;25000;0;1;0;0;18.32
0;25000;0;1;100;0;18.17
0;25000;0;1;500;0;17.50
0;25000;0;1;1000;0;17.60
0;25000;0;1;2000;0;16.29
0;25000;0;1;3000;0;15.28
0;25000;1;0;0;0;18.78
0;25000;1;0;100;0;17.93
0;25000;1;0;500;0;17.44
0;25000;1;0;1000;0;17.42
0;25000;1;0;2000;0;16.83
0;25000;1;0;3000;0;16.07
0;25000;1;1;0;0;17.97
0;25000;1;1;100;0;17.73
0;25000;1;1;500;0;17.03
0;25000;1;1;1000;0;16.52
0;25000;1;1;2000;0;15.76
0;25000;1;1;3000;0;15.42
0;25000;2;0;0;0;17.90
0;25000;2;0;100;0;18.25
0;25000;2;0;500;0;18.23
0;25000;2;0;1000;0;18.05
0;25000;2;0;2000;0;17.43
0;25000;2;0;3000;0;16.56
0;25000;2;1;0;0;18.16
0;25000;2;1;100;0;17.80
0;25000;2;1;500;0;17.82
0;25000;2;1;1000;0;17.26
0;25000;2;1;2000;0;16.38
0;25000;2;1;3000;0;15.55
0;25000;4;0;0;0;19.17
0;25000;4;0;100;0;18.57
0;25000;4;0;500;0;17.20
0;25000;4;0;1000;0;16.95
0;25000;4;0;2000;0;16.78
