Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;50;3;0;50;0;126.4
0;50;3;0;250;0;120.0
0;50;3;0;750;0;82.82
0;50;3;0;1500;0;59.63
0;50;3;0;2500;0;45.5
0;50;3;0;3500;0;42.59
0;50;3;1;50;0;137.2
0;50;3;1;250;0;96.86
0;50;3;1;750;0;82.78
0;50;3;1;1500;0;46.55
0;50;3;1;2500;0;42.44
0;50;3;1;3500;0;37.75
0;50;6;0;50;0;146.51
0;50;6;0;250;0;123.35
0;50;6;0;750;0;97.46
0;50;6;0;1500;0;65.48
0;50;6;0;2500;0;45.1
0;50;6;0;3500;0;39.45
0;50;6;1;50;0;132.32
0;50;6;1;250;0;125.33
0;50;6;1;750;0;91.47
0;50;6;1;1500;0;64.59
0;50;6;1;2500;0;45.86
0;50;6;1;3500;0;40.69
0;50;10;0;50;0;138.59
0;50;10;0;250;0;130.91
0;50;10;0;750;0;95.94
0;50;10;0;1500;0;66.45
0;50;10;0;2500;0;46.18
0;50;10;0;3500;0;41.46
0;50;10;1;50;0;129.67
0;50;10;1;250;0;124.51
0;50;10;1;750;0;92.88
0;50;10;1;1500;0;64.0
0;50;10;1;2500;0;45.39
0;50;10;1;3500;0;39.86
0;50;14;0;50;0;132.78
0;50;14;0;250;0;126.17
0;50;14;0;750;0;93.49
0;50;14;0;1500;0;64.31
0;50;14;0;2500;0;44.59
0;50;14;0;3500;0;39.1
0;50;14;1;50;0;126.43
0;50;14;1;250;0;123.78
0;50;14;1;750;0;91.93
0;50;14;1;1500;0;65.17
0;50;14;1;2500;0;44.77
0;50;14;1;3500;0;38.91
0;50;20;0;50;0;135.81
0;50;20;0;250;0;129.24
0;50;20;0;750;0;95.71
0;50;20;0;1500;0;65.55
0;50;20;0;2500;0;47.41
0;50;20;0;3500;0;39.79
0;50;20;1;50;0;110.51
0;50;20;1;250;0;111.11
0;50;20;1;750;0;91.01
0;50;20;1;1500;0;65.28
0;50;20;1;2500;0;45.84
0;50;20;1;3500;0;42.05
0;300;3;0;50;0;103.62
0;300;3;0;250;0;128.3
0;300;3;0;750;0;91.57
0;300;3;0;1500;0;64.97
0;300;3;0;2500;0;45.35
0;300;3;0;3500;0;39.35
0;300;3;1;50;0;118.16
0;300;3;1;250;0;117.47
0;300;3;1;750;0;90.18
0;300;3;1;1500;0;64.58
0;300;3;1;2500;0;44.32
0;300;3;1;3500;0;38.19
0;300;6;0;50;0;124.94
0;300;6;0;250;0;119.94
0;300;6;0;750;0;87.6
0;300;6;0;1500;0;62.98
0;300;6;0;2500;0;43.96
0;300;6;0;3500;0;39.88
0;300;6;1;50;0;117.95
0;300;6;1;250;0;116.54
0;300;6;1;750;0;85.49
0;300;6;1;1500;0;62.45
0;300;6;1;2500;0;45.32
0;300;6;1;3500;0;38.32
0;300;10;0;50;0;124.8
0;300;10;0;250;0;123.85
0;300;10;0;750;0;91.72
0;300;10;0;1500;0;63.52
0;300;10;0;2500;0;44.87
0;300;10;0;3500;0;38.27
0;300;10;1;50;0;117.53
0;300;10;1;250;0;117.54
0;300;10;1;750;0;86.03
0;300;10;1;1500;0;62.11
0;300;10;1;2500;0;44.94
0;300;10;1;3500;0;38.25
0;300;14;0;50;0;123.72
0;300;14;0;250;0;122.8
0;300;14;0;750;0;89.66
0;300;14;0;1500;0;55.24
0;300;14;0;2500;0;41.92
0;300;14;0;3500;0;37.98
0;300;14;1;50;0;123.75
0;300;14;1;250;0;119.84
0;300;14;1;750;0;92.3
0;300;14;1;1500;0;65.48
0;300;14;1;2500;0;45.98
0;300;14;1;3500;0;38.25
0;300;20;0;50;0;125.6
0;300;20;0;250;0;119.76
0;300;20;0;750;0;89.67
0;300;20;0;1500;0;62.42
0;300;20;0;2500;0;45.82
0;300;20;0;3500;0;38.47
0;300;20;1;50;0;116.92
0;300;20;1;250;0;115.63
0;300;20;1;750;0;86.09
0;300;20;1;1500;0;62.22
0;300;20;1;2500;0;43.81
0;300;20;1;3500;0;37.89
0;750;3;0;50;0;83.57
0;750;3;0;250;0;111.01
0;750;3;0;750;0;84.39
0;750;3;0;1500;0;58.52
0;750;3;0;2500;0;38.61
0;750;3;0;3500;0;35.22
0;750;3;1;50;0;103.57
0;750;3;1;250;0;111.22
0;750;3;1;750;0;86.19
0;750;3;1;1500;0;57.52
0;750;3;1;2500;0;39.6
0;750;3;1;3500;0;37.53
0;750;6;0;50;0;116.62
0;750;6;0;250;0;114.82
0;750;6;0;750;0;85.08
0;750;6;0;1500;0;61.77
0;750;6;0;2500;0;41.81
0;750;6;0;3500;0;35.65
0;750;6;1;50;0;105.53
0;750;6;1;250;0;110.37
0;750;6;1;750;0;77.07
0;750;6;1;1500;0;59.62
0;750;6;1;2500;0;43.13
0;750;6;1;3500;0;38.13
0;750;10;0;50;0;111.89
0;750;10;0;250;0;111.92
0;750;10;0;750;0;83.56
0;750;10;0;1500;0;59.36
0;750;10;0;2500;0;43.91
0;750;10;0;3500;0;38.04
0;750;10;1;50;0;104.66
0;750;10;1;250;0;99.9
0;750;10;1;750;0;79.15
0;750;10;1;1500;0;61.78
0;750;10;1;2500;0;43.51
0;750;10;1;3500;0;38.08
0;750;14;0;50;0;112.96
0;750;14;0;250;0;110.82
0;750;14;0;750;0;84.14
0;750;14;0;1500;0;62.56
0;750;14;0;2500;0;42.37
0;750;14;0;3500;0;34.35
0;750;14;1;50;0;96.18
0;750;14;1;250;0;106.21
0;750;14;1;750;0;79.77
0;750;14;1;1500;0;62.43
0;750;14;1;2500;0;44.25
0;750;14;1;3500;0;40.7
0;750;20;0;50;0;116.3
0;750;20;0;250;0;111.31
0;750;20;0;750;0;84.02
0;750;20;0;1500;0;61.98
0;750;20;0;2500;0;38.71
0;750;20;0;3500;0;34.63
0;750;20;1;50;0;98.69
0;750;20;1;250;0;109.1
0;750;20;1;750;0;85.87
0;750;20;1;1500;0;63.16
0;750;20;1;2500;0;44.46
0;750;20;1;3500;0;38.23
0;3000;3;0;50;0;45.91
0;3000;3;0;250;0;72.67
0;3000;3;0;750;0;62.97
0;3000;3;0;1500;0;49.94
0;3000;3;0;2500;0;36.84
0;3000;3;0;3500;0;34.29
0;3000;3;1;50;0;65.56
0;3000;3;1;250;0;66.34
0;3000;3;1;750;0;62.02
0;3000;3;1;1500;0;46.18
0;3000;3;1;2500;0;37.0
0;3000;3;1;3500;0;31.84
0;3000;6;0;50;0;69.73
0;3000;6;0;250;0;69.36
0;3000;6;0;750;0;63.11
0;3000;6;0;1500;0;50.34
0;3000;6;0;2500;0;37.35
0;3000;6;0;3500;0;32.23
0;3000;6;1;50;0;68.25
0;3000;6;1;250;0;68.41
0;3000;6;1;750;0;62.67
0;3000;6;1;1500;0;48.72
0;3000;6;1;2500;0;36.79
0;3000;6;1;3500;0;32.99
0;3000;10;0;50;0;70.87
0;3000;10;0;250;0;71.1
0;3000;10;0;750;0;65.35
0;3000;10;0;1500;0;51.18
0;3000;10;0;2500;0;38.6
0;3000;10;0;3500;0;34.67
0;3000;10;1;50;0;68.28
0;3000;10;1;250;0;71.36
0;3000;10;1;750;0;63.57
0;3000;10;1;1500;0;50.69
0;3000;10;1;2500;0;38.09
0;3000;10;1;3500;0;34.31
0;3000;14;0;50;0;58.04
0;3000;14;0;250;0;64.98
0;3000;14;0;750;0;58.57
0;3000;14;0;1500;0;50.54
0;3000;14;0;2500;0;40.59
0;3000;14;0;3500;0;36.81
0;3000;14;1;50;0;75.56
0;3000;14;1;250;0;71.51
0;3000;14;1;750;0;51.08
0;3000;14;1;1500;0;43.87
0;3000;14;1;2500;0;31.98
0;3000;14;1;3500;0;28.4
0;3000;20;0;50;0;57.43
0;3000;20;0;250;0;64.3
0;3000;20;0;750;0;58.68
0;3000;20;0;1500;0;48.35
0;3000;20;0;2500;0;36.17
0;3000;20;0;3500;0;32.53
0;3000;20;1;50;0;66.17
0;3000;20;1;250;0;70.2
